datetime,CO,NO2,O3,PM10,PM2.5,SO2,海平面气压(hPa),地面气压(hPa),气温2m(℃),降水量(mm),相对湿度(%),地表温度(℃),蒸发量(mm),潜在蒸发量(mm),"经向风速(V,m/s)","纬向风速(U,m/s)","总太阳辐射度(down,J/m2)","净太阳辐射度(net,J/m2)",直接辐射(J/m2)
1609459200.0,0.53,25.0,46.0,38.0,20.0,8.0,1031.12,1014.83,-3.18,0.0,32.69,-5.39,-0.0,-0.01,1.52,2.83,0.0,0.0,0.0
1609462800.0,0.55,27.0,43.0,45.0,24.0,9.0,1030.25,1013.97,-3.71,0.0,35.51,-5.38,-0.0,-0.01,1.55,2.96,0.0,0.0,0.0
1609466400.0,0.54,25.0,45.0,46.5,24.5,8.5,1029.72,1013.45,-3.43,0.0,34.08,-5.17,-0.0,-0.01,1.7,3.26,0.0,0.0,0.0
1609470000.0,0.52,23.0,47.0,48.0,25.0,8.0,1029.14,1012.88,-3.24,0.0,33.76,-5.18,-0.0,-0.01,1.4,3.24,0.0,0.0,0.0
1609473600.0,0.51,22.0,49.0,46.0,25.0,8.0,1028.27,1012.03,-3.63,0.0,37.47,-5.08,-0.0,-0.01,1.45,3.29,0.0,0.0,0.0
1609484400.0,0.56,25.0,44.0,52.0,28.0,10.0,1027.36,1011.13,-3.37,0.0,39.9,-4.57,-0.0,-0.01,0.88,3.52,0.0,0.0,0.0
1609488000.0,0.55,28.0,43.0,53.0,29.0,9.0,1027.79,1011.57,-3.17,0.0,38.54,-3.7,-0.0,-0.02,0.84,3.68,26304.0,21888.0,6400.0
1609491600.0,0.59,27.0,46.0,53.0,31.0,10.0,1028.3,1012.1,-1.51,0.0,38.31,0.46,-0.02,-0.07,0.81,4.22,428288.0,357184.0,244160.0
1609495200.0,0.59,25.0,50.0,55.0,30.0,9.0,1027.63,1011.53,4.19,0.0,25.79,4.48,-0.04,-0.14,-0.23,4.4,1029760.0,862336.0,725632.0
1609498800.0,0.59,23.0,57.0,67.0,29.0,10.0,1027.68,1011.69,4.51,0.0,26.01,7.48,-0.06,-0.23,-1.13,4.66,1543552.0,1295616.0,1174144.0
1609502400.0,0.5,21.0,63.0,68.0,27.0,10.0,1026.55,1010.66,4.46,0.0,26.05,9.35,-0.08,-0.29,-1.61,4.53,1874944.0,1575936.0,1470976.0
1609506000.0,0.5,20.0,69.0,66.0,26.0,9.0,1025.54,1009.73,8.59,0.0,19.78,10.29,-0.1,-0.32,-1.82,4.12,1983040.0,1667456.0,1568704.0
1609513200.0,0.44,22.0,73.0,57.0,25.0,8.0,1024.96,1009.23,8.58,0.0,21.04,9.2,-0.09,-0.26,-0.89,3.32,1507072.0,1265792.0,1142144.0
1609516800.0,0.44,25.0,71.0,54.0,25.0,8.0,1024.82,1009.12,7.81,0.0,25.07,6.43,-0.06,-0.16,0.09,2.08,986816.0,827136.0,689600.0
1609520400.0,0.44,31.0,63.0,56.0,27.0,8.0,1025.15,1009.44,6.8,0.0,27.89,-0.74,-0.01,-0.03,1.23,2.51,393024.0,328256.0,219520.0
1609524000.0,0.48,44.0,47.0,56.0,28.0,7.0,1025.75,1010.03,0.37,0.0,48.35,-3.53,-0.0,-0.01,1.65,2.47,19200.0,16000.0,3968.0
1609527600.0,0.58,59.0,35.0,55.0,32.0,7.0,1026.44,1010.69,1.0,0.0,44.88,-3.15,-0.0,-0.01,1.09,2.43,0.0,0.0,0.0
1609531200.0,0.67,66.0,21.0,62.0,35.0,8.0,1027.11,1011.34,1.42,0.0,41.04,-2.94,-0.0,-0.01,0.57,2.51,0.0,0.0,0.0
1609534800.0,0.65,67.0,20.0,68.0,37.0,8.0,1027.44,1011.64,1.75,0.0,37.55,-3.11,-0.0,-0.01,0.28,2.56,0.0,0.0,0.0
1609538400.0,0.75,68.0,20.0,74.0,40.0,10.0,1027.39,1011.6,1.0,0.0,39.04,-3.53,-0.0,-0.01,0.11,2.54,0.0,0.0,0.0
1609542000.0,0.85,69.0,17.0,80.0,46.0,9.0,1027.41,1011.63,-0.57,0.0,42.75,-3.97,-0.0,-0.01,0.1,2.49,0.0,0.0,0.0
1609545600.0,0.88,69.0,16.0,85.0,44.0,10.0,1027.3,1011.51,-0.67,0.0,41.84,-4.21,-0.0,-0.01,0.24,2.37,0.0,0.0,0.0
1609549200.0,0.78,66.0,15.0,87.0,41.0,10.0,1027.35,1011.57,-1.24,0.0,44.12,-4.16,-0.0,-0.01,0.38,2.32,0.0,0.0,0.0
1609552800.0,0.66,63.0,15.0,79.0,40.0,10.0,1027.27,1011.49,-1.31,0.0,44.71,-4.56,-0.0,-0.01,0.46,2.18,0.0,0.0,0.0
1609556400.0,0.6,58.0,18.0,76.0,40.0,11.0,1027.22,1011.43,-1.69,0.0,46.85,-5.09,-0.0,-0.01,0.43,2.27,0.0,0.0,0.0
1609560000.0,0.6,55.0,20.0,71.0,38.0,12.0,1027.12,1011.32,-3.14,0.0,53.35,-5.36,-0.0,-0.01,0.43,2.31,0.0,0.0,0.0
1609563600.0,0.56,52.0,22.0,68.0,38.0,11.0,1026.76,1010.96,-2.68,0.0,52.0,-5.78,-0.0,-0.0,0.71,2.13,0.0,0.0,0.0
1609567200.0,0.55,53.0,21.0,67.0,38.0,11.0,1026.75,1010.9,-2.74,0.0,55.47,-5.69,-0.0,-0.0,0.61,2.07,0.0,0.0,0.0
1609570800.0,0.58,59.0,14.0,68.0,37.0,10.0,1027.2,1011.33,-2.49,0.0,54.16,-5.61,-0.0,-0.0,0.24,1.59,0.0,0.0,0.0
1609574400.0,0.69,64.0,10.0,72.0,41.0,13.0,1028.02,1012.13,-2.9,0.0,59.24,-3.68,-0.0,-0.0,0.32,1.62,22016.0,18368.0,1280.0
1609578000.0,0.79,62.0,13.0,82.0,44.0,13.0,1028.78,1012.88,-2.53,0.0,59.34,1.13,-0.01,-0.03,0.55,0.87,346880.0,289984.0,83264.0
1609581600.0,0.92,61.0,16.0,90.0,48.0,15.0,1028.45,1012.55,3.73,0.0,41.87,4.4,-0.03,-0.08,0.01,-0.2,825280.0,691328.0,334080.0
1609585200.0,0.87,57.0,20.0,95.0,49.0,14.0,1028.98,1012.99,4.4,0.0,42.2,8.13,-0.05,-0.13,-0.24,-0.61,1186304.0,996096.0,550272.0
1609588800.0,0.92,50.0,30.0,97.0,50.0,15.0,1028.52,1012.63,4.61,0.0,43.57,11.04,-0.07,-0.19,-0.34,-0.89,1571840.0,1321920.0,915968.0
1609592400.0,0.91,46.0,39.0,91.0,49.0,16.0,1027.05,1011.25,8.21,0.0,34.49,12.16,-0.09,-0.23,-0.21,-1.52,1727168.0,1450304.0,1092352.0
1609596000.0,0.95,51.0,39.0,97.0,51.0,15.0,1026.14,1010.4,8.3,0.0,36.71,12.25,-0.08,-0.22,0.0,-1.87,1502080.0,1263872.0,838080.0
1609599600.0,0.95,54.0,37.0,97.0,53.0,14.0,1025.94,1010.21,8.49,0.0,38.59,10.93,-0.09,-0.23,0.44,-1.95,1472000.0,1236352.0,1066176.0
1609603200.0,0.95,61.0,31.0,105.0,61.0,14.0,1026.23,1010.49,7.29,0.0,43.14,7.85,-0.05,-0.15,0.44,-1.96,820736.0,688128.0,362560.0
1609606800.0,1.05,65.0,26.0,114.0,76.0,13.0,1026.59,1010.83,7.19,0.0,49.51,3.36,-0.02,-0.05,0.1,-1.82,328576.0,274816.0,102976.0
1609610400.0,1.23,71.0,19.0,134.0,102.0,14.0,1027.28,1011.48,3.35,0.0,55.38,-0.16,-0.0,-0.01,-0.57,-2.32,18432.0,15360.0,1984.0
1609614000.0,1.35,78.0,12.0,151.0,119.0,16.0,1028.52,1012.68,3.4,0.0,57.58,-0.61,-0.0,-0.01,-1.37,-1.82,0.0,0.0,0.0
1609617600.0,1.36,80.0,11.0,164.0,129.0,17.0,1029.56,1013.68,3.24,0.0,58.63,-0.56,-0.0,-0.0,-1.82,-1.25,0.0,0.0,0.0
1609621200.0,1.38,79.0,13.0,180.0,136.0,17.5,1030.15,1014.19,3.16,0.0,58.39,-0.92,-0.0,-0.0,-1.82,-1.09,0.0,0.0,0.0
1609624800.0,1.4,80.0,12.0,184.0,147.0,18.0,1030.64,1014.59,2.35,0.0,59.1,-1.08,-0.0,-0.0,-2.16,-1.21,0.0,0.0,0.0
1609628400.0,1.41,80.0,12.0,191.0,146.25,16.0,1031.24,1015.1,1.39,0.0,58.78,-1.53,-0.0,-0.01,-2.24,-0.86,0.0,0.0,0.0
1609632000.0,1.42,79.0,11.0,197.0,145.5,16.0,1033.0,1016.79,1.37,0.0,55.78,-3.32,-0.0,-0.01,-2.02,0.0,0.0,0.0,0.0
1609635600.0,1.44,80.0,9.0,199.0,144.75,17.0,1032.16,1015.92,0.53,0.0,56.58,-3.91,-0.0,-0.01,-1.86,-0.75,0.0,0.0,0.0
1609639200.0,1.43,80.4,7.0,196.0,144.0,17.0,1032.42,1016.15,0.51,0.0,54.4,-2.81,-0.0,-0.01,-1.67,-0.67,0.0,0.0,0.0
1609642800.0,1.43,80.17,6.0,188.0,136.0,17.0,1032.44,1016.14,0.62,0.0,51.95,-2.97,-0.0,-0.01,-1.83,-0.69,0.0,0.0,0.0
1609646400.0,1.43,79.93,6.0,174.0,128.0,17.0,1033.19,1016.84,-0.06,0.0,52.16,-3.57,-0.0,-0.01,-2.29,-0.35,0.0,0.0,0.0
1609650000.0,1.43,79.7,6.0,168.0,127.0,17.0,1033.06,1016.68,-0.37,0.0,51.23,-3.38,-0.0,-0.01,-1.99,-0.74,0.0,0.0,0.0
1609653600.0,1.43,79.47,6.0,173.0,124.0,17.0,1033.81,1017.44,-0.48,0.0,49.73,-2.29,-0.0,-0.01,-2.16,-0.28,0.0,0.0,0.0
1609657200.0,1.43,79.23,5.0,164.0,120.0,17.0,1033.68,1017.28,-0.56,0.0,48.65,-2.39,-0.0,-0.01,-2.61,-0.71,0.0,0.0,0.0
1609660800.0,1.44,79.0,6.0,160.0,118.0,17.0,1034.4,1017.99,-0.66,0.0,48.68,-2.16,-0.0,-0.01,-2.39,-0.62,15360.0,12864.0,0.0
1609664400.0,1.44,76.0,8.0,166.0,119.0,17.0,1034.5,1018.08,-1.34,0.0,51.75,-0.52,-0.01,-0.04,-2.77,-1.14,195776.0,164608.0,1280.0
1609668000.0,1.44,70.0,13.0,171.0,122.0,17.0,1033.53,1017.17,1.0,0.0,42.69,1.27,-0.03,-0.08,-2.79,-1.48,530496.0,444096.0,46272.0
1609671600.0,1.44,66.0,19.0,174.0,124.0,17.0,1033.97,1017.68,0.75,0.0,45.38,4.82,-0.04,-0.11,-2.89,-1.05,781376.0,655104.0,88640.0
1609675200.0,1.44,65.0,23.0,176.0,125.0,17.0,1032.97,1016.77,0.98,0.0,46.53,6.92,-0.05,-0.15,-2.34,-1.11,1166016.0,978368.0,323264.0
1609678800.0,1.44,64.0,28.0,174.0,122.0,17.0,1031.3,1015.19,4.06,0.0,36.95,8.24,-0.06,-0.18,-1.85,-1.38,1359296.0,1140352.0,398656.0
1609682400.0,1.44,63.0,31.0,172.0,122.0,17.0,1030.34,1014.29,4.27,0.0,38.54,9.28,-0.07,-0.19,-1.21,-1.54,1467776.0,1234112.0,697152.0
1609686000.0,1.44,65.0,32.0,164.0,123.0,17.0,1030.21,1014.21,4.42,0.0,40.02,8.58,-0.07,-0.19,-0.87,-1.54,1484352.0,1247296.0,1104768.0
1609689600.0,1.44,67.0,30.0,166.0,122.0,17.0,1030.19,1014.19,3.47,0.0,44.55,6.1,-0.05,-0.14,-0.68,-1.63,982272.0,823808.0,678464.0
1609693200.0,1.44,73.0,23.0,165.0,120.0,17.0,1030.61,1014.59,3.21,0.0,51.69,1.01,-0.02,-0.06,-0.77,-1.59,398784.0,333184.0,223680.0
1609696800.0,1.44,80.0,14.0,156.0,115.0,17.0,1031.35,1015.24,-0.79,0.0,62.87,-3.04,-0.0,-0.0,-1.32,-2.06,21888.0,18304.0,4736.0
1609700400.0,1.45,80.11,7.0,156.0,115.0,17.0,1032.09,1015.95,-0.7,0.0,63.72,-3.83,-0.0,-0.0,-1.19,-2.12,0.0,0.0,0.0
1609704000.0,1.45,80.22,7.0,154.0,119.0,17.0,1032.2,1016.04,-0.87,0.0,66.06,-4.32,-0.0,-0.0,-1.07,-2.15,0.0,0.0,0.0
1609707600.0,1.45,80.33,6.0,153.0,123.0,17.0,1031.95,1015.77,-1.4,0.0,69.88,-5.12,-0.0,-0.0,-0.82,-2.37,0.0,0.0,0.0
1609711200.0,1.45,80.44,5.0,158.0,128.0,17.0,1031.36,1015.17,-1.68,0.0,71.06,-5.18,-0.0,0.0,-0.44,-2.41,0.0,0.0,0.0
1609714800.0,1.45,80.56,5.0,172.0,130.0,17.0,1032.07,1015.85,-2.49,0.0,71.6,-5.86,0.0,0.0,-0.36,-1.36,0.0,0.0,0.0
1609718400.0,1.45,80.25,6.0,177.0,134.0,17.0,1031.91,1015.68,-2.41,0.0,70.7,-5.97,0.0,0.0,-0.73,-0.03,0.0,0.0,0.0
1609722000.0,1.45,79.94,6.0,180.0,138.0,17.0,1031.56,1015.33,-2.62,0.0,71.36,-6.06,0.0,0.0,-0.78,0.31,0.0,0.0,0.0
1609725600.0,1.45,79.62,6.0,187.0,145.0,17.0,1031.22,1015.01,-2.52,0.0,71.21,-6.03,0.0,0.0,-0.58,0.6,0.0,0.0,0.0
1609729200.0,1.45,79.31,6.0,191.0,144.67,16.0,1031.07,1014.86,-3.34,0.0,75.76,-5.78,0.0,0.0,-0.45,0.86,0.0,0.0,0.0
1609732800.0,1.45,79.0,6.0,189.0,144.33,15.0,1030.45,1014.26,-4.06,0.0,80.91,-5.71,-0.0,0.0,-0.54,0.94,0.0,0.0,0.0
1609736400.0,1.45,76.0,5.0,188.0,144.0,15.0,1030.39,1014.19,-4.52,0.0,82.08,-5.61,-0.0,0.0,-0.51,1.09,0.0,0.0,0.0
1609740000.0,1.45,75.0,5.0,194.0,143.67,14.0,1030.79,1014.55,-4.67,0.0,85.07,-5.77,-0.0,0.0,-0.7,1.16,0.0,0.0,0.0
1609743600.0,1.44,76.0,5.0,196.0,143.33,14.0,1030.28,1014.06,-4.81,0.0,84.61,-6.11,0.0,0.0,-1.19,0.65,0.0,0.0,0.0
1609747200.0,1.44,76.0,5.0,200.0,143.0,16.0,1030.98,1014.74,-4.76,0.0,84.59,-5.06,0.0,0.0,-0.54,0.82,24832.0,20736.0,5760.0
1609750800.0,1.44,75.0,6.0,216.0,142.67,17.0,1031.87,1015.62,-3.54,0.0,80.11,0.61,-0.01,-0.02,-0.74,0.42,412224.0,344128.0,231808.0
1609754400.0,1.44,77.0,9.0,231.0,142.33,17.2,1031.42,1015.2,2.05,0.0,57.59,5.11,-0.03,-0.07,-1.17,0.06,987136.0,827328.0,673856.0
1609758000.0,1.44,77.0,14.0,231.0,142.0,17.4,1031.76,1015.64,2.05,0.0,57.78,7.99,-0.05,-0.13,-1.88,-0.18,1423424.0,1194880.0,972544.0
1609761600.0,1.44,75.0,20.0,238.5,141.67,17.6,1030.23,1014.18,2.4,0.0,57.82,8.57,-0.06,-0.16,-2.1,-0.96,1538688.0,1291648.0,791040.0
1609765200.0,1.44,77.0,22.0,246.0,141.33,17.8,1029.32,1013.32,3.82,0.0,50.61,9.16,-0.06,-0.18,-1.88,-1.53,1570048.0,1318848.0,768000.0
1609768800.0,1.43,68.0,27.0,239.0,141.0,18.0,1028.69,1012.71,3.8,0.0,51.08,9.15,-0.07,-0.19,-1.97,-1.69,1573568.0,1322752.0,936448.0
1609772400.0,1.43,64.0,28.0,205.0,140.67,18.2,1029.04,1013.07,3.25,0.0,52.29,7.64,-0.05,-0.15,-1.98,-2.09,1205696.0,1013888.0,661760.0
1609776000.0,1.43,61.0,30.0,193.0,140.33,17.76,1029.38,1013.4,2.68,0.0,54.42,5.44,-0.04,-0.11,-1.79,-2.35,797440.0,668928.0,427456.0
